100000
28487 , 28487
1625 , 1625
10611 , 10611
16157 , 16157
16338 , 16338
8964 , 8964
32389 , 32389
20337 , 20337
29753 , 29753
19594 , 19594
20021 , 20021
25296 , 25296
5198 , 5198
21813 , 21813
28052 , 28052
26103 , 26103
20757 , 20757
4203 , 4203
7941 , 7941
27522 , 27522
17714 , 17714
10408 , 10408
30343 , 30343
2126 , 2126
20498 , 20498
22846 , 22846
14019 , 14019
6543 , 6543
30684 , 30684
1996 , 1996
29397 , 29397
20656 , 20656
32278 , 32278
31104 , 31104
218 , 218
8430 , 8430
4888 , 4888
8204 , 8204
2366 , 2366
27314 , 27314
21553 , 21553
14953 , 14953
16066 , 16066
179 , 179
154 , 154
17742 , 17742
2896 , 2896
25288 , 25288
4383 , 4383
30575 , 30575
15742 , 15742
19086 , 19086
7815 , 7815
17782 , 17782
740 , 740
26046 , 26046
17096 , 17096
10690 , 10690
15134 , 15134
23115 , 23115
24812 , 24812
11234 , 11234
28576 , 28576
28734 , 28734
32705 , 32705
25552 , 25552
31804 , 31804
32082 , 32082
9027 , 9027
29933 , 29933
13429 , 13429
28239 , 28239
20682 , 20682
15552 , 15552
4481 , 4481
2598 , 2598
10740 , 10740
12655 , 12655
13600 , 13600
19153 , 19153
19024 , 19024
11257 , 11257
19743 , 19743
26601 , 26601
21455 , 21455
6713 , 6713
9131 , 9131
28420 , 28420
21995 , 21995
21659 , 21659
26710 , 26710
1492 , 1492
31636 , 31636
5019 , 5019
32235 , 32235
12801 , 12801
11231 , 11231
16642 , 16642
22770 , 22770
17089 , 17089
2414 , 2414
8416 , 8416
15106 , 15106
14397 , 14397
31901 , 31901
3656 , 3656
22217 , 22217
17572 , 17572
13425 , 13425
18382 , 18382
10460 , 10460
17163 , 17163
19009 , 19009
1985 , 1985
4415 , 4415
16395 , 16395
29730 , 29730
25641 , 25641
31156 , 31156
28697 , 28697
29204 , 29204
12927 , 12927
5316 , 5316
12195 , 12195
8686 , 8686
27439 , 27439
398 , 398
26864 , 26864
26121 , 26121
18638 , 18638
24658 , 24658
31669 , 31669
19119 , 19119
7963 , 7963
9149 , 9149
630 , 630
5698 , 5698
9655 , 9655
10994 , 10994
4514 , 4514
12332 , 12332
12964 , 12964
28765 , 28765
19566 , 19566
2698 , 2698
8319 , 8319
22839 , 22839
27501 , 27501
31383 , 31383
23677 , 23677
29143 , 29143
4340 , 4340
11226 , 11226
22567 , 22567
8895 , 8895
1840 , 1840
6672 , 6672
23253 , 23253
10850 , 10850
17411 , 17411
15831 , 15831
28396 , 28396
26550 , 26550
20131 , 20131
22559 , 22559
26327 , 26327
16766 , 16766
25330 , 25330
2128 , 2128
13766 , 13766
13909 , 13909
28315 , 28315
6459 , 6459
6185 , 6185
24953 , 24953
17392 , 17392
12483 , 12483
18411 , 18411
93 , 93
7814 , 7814
20040 , 20040
14447 , 14447
17645 , 17645
21902 , 21902
17366 , 17366
5707 , 5707
159 , 159
22514 , 22514
5650 , 5650
1735 , 1735
29758 , 29758
20019 , 20019
28384 , 28384
25364 , 25364
20597 , 20597
32261 , 32261
3797 , 3797
27468 , 27468
13086 , 13086
19367 , 19367
26976 , 26976
11565 , 11565
11592 , 11592
29956 , 29956
22455 , 22455
6805 , 6805
7690 , 7690
25228 , 25228
3715 , 3715
3005 , 3005
28171 , 28171
10703 , 10703
16970 , 16970
10549 , 10549
30668 , 30668
7646 , 7646
9888 , 9888
31139 , 31139
10428 , 10428
2401 , 2401
13325 , 13325
3899 , 3899
9978 , 9978
28280 , 28280
24765 , 24765
4349 , 4349
2023 , 2023
26707 , 26707
14314 , 14314
7090 , 7090
25460 , 25460
2704 , 2704
31754 , 31754
13988 , 13988
20517 , 20517
23127 , 23127
16312 , 16312
22560 , 22560
5095 , 5095
15671 , 15671
8547 , 8547
13741 , 13741
5527 , 5527
31167 , 31167
5560 , 5560
23561 , 23561
23374 , 23374
9692 , 9692
27856 , 27856
19175 , 19175
8558 , 8558
7926 , 7926
32281 , 32281
4203 , 4203
22126 , 22126
26569 , 26569
9990 , 9990
8289 , 8289
1893 , 1893
2051 , 2051
2166 , 2166
